Xline	Inline	FS11	shallow	Truncation	TopForesets	MFS4	FS8	FS7	FS6	FS4
300	244	633.42444	472.19553	1049.5107	1072.7767	1089.9669	826.78284	996.3056	947.3045	1116.7762
301	244	632.72156	472.19217	1049.6603	1072.7802	1089.527	826.79712	996.29858	947.3045	1116.772
302	244	631.89313	472.19553	1050.1415	1072.7802	1088.5753	826.63525	992.30878	947.3045	1116.772
303	244	631.01196	472.19553	1050.1024	1072.7802	1088.4063	826.87329	991.87561	947.3045	1116.7292
304	244	630.57635	472.19553	1050.0439	1072.7	1088.3004	827.16846	991.30261	947.3045	1116.6653
305	244	630.27942	472.065	1050.0114	1072.65	1088.0847	827.4541	990.60388	947.3045	1116.5842
306	244	630.40833	472.15848	1049.9658	1072.4801	1087.7886	827.51123	989.79327	947.3045	1116.5159
307	244	630.76483	472.08264	1049.8943	1072.3199	1087.4713	827.20654	988.9129	947.3045	1116.4305
308	244	630.80817	472.67004	1049.7709	1072.1101	1087.1542	826.50671	987.99054	947.3045	1116.3495
309	244	630.28693	470.92081	1049.5758	1071.8601	1086.8834	825.67358	987.06824	947.3045	1116.2769
310	244	629.45111	471.9584	1049.2897	1071.5602	1086.7017	824.89282	986.18085	947.3045	1116.2085
311	244	628.51385	472.996	1048.8931	1071.2201	1086.5747	824.22156	985.34235	947.3045	1116.1531
312	244	627.73517	474.0336	1048.4443	1070.87	1086.4987	823.68835	984.54578	947.3045	1116.1062
313	244	626.90009	475.0712	1048.0219	1070.53	1086.2957	823.35028	983.79816	947.3045	1116.0549
314	244	626.20581	476.1088	1047.6576	1070.24	1085.9952	823.18842	983.07843	947.3045	1116
315	244	625.63788	477.14639	1047.3845	1070.02	1085.6484	822.9361	982.38666	947.3045	1115.9397
316	244	625.27319	478.18399	1047.1635	1069.87	1085.3058	822.50287	981.71588	947.3045	1115.8799
317	244	625.20905	479.22159	1046.9749	1069.7701	1085.0012	821.88873	981.05908	947.3045	1115.8159
318	244	625.18579	480.25919	1046.7928	1069.67	1084.8025	821.19843	980.42322	947.3045	1115.7477
319	244	625.07715	483.03876	1046.6108	1069.5601	1084.6418	820.52234	979.80127	947.3045	1115.6708
320	244	624.73163	482.38434	1046.4222	1069.4501	1084.5444	819.93683	979.1864	947.3045	1115.5897
321	244	624.30835	480.74384	1046.2207	1069.26	1084.3076	819.55115	978.57849	947.3045	1115.5044
322	244	623.89166	477.59106	1045.993	1069.08	1083.9735	819.33698	977.97058	947.3045	1115.4191
323	244	623.38824	476.92404	1045.733	1068.8601	1083.614	819.04657	977.37671	947.3045	1115.338
324	244	622.90015	476.25702	1045.4534	1068.6401	1083.2587	818.56097	976.78979	947.3045	1115.2568
325	244	622.52332	475.59	1045.1543	1068.45	1082.9457	817.89917	976.20984	947.3045	1115.1714
326	244	622.32086	474.92297	1044.7968	1068.2701	1082.7214	817.19934	974.18341	947.3045	1115.0818
327	244	622.10706	480.78439	1044.3741	1068.12	1082.5524	816.53284	973.58252	947.3045	1114.9751
328	244	621.87891	480.48804	1043.906	1067.9801	1082.4973	815.97107	970.74561	947.3045	1114.86
329	244	621.52014	480.18289	1043.4639	1067.87	1082.3492	815.60919	970.26349	947.3045	1114.7277
330	244	621.17297	480.41043	1043.1127	1067.8	1082.1251	815.39978	969.77435	947.3045	1114.5867
331	244	620.83588	480.29929	1042.8527	1067.7501	1081.8756	815.09509	969.28528	947.3045	1114.4374
332	244	620.61859	480.42102	1042.6835	1067.7401	1081.6218	814.6095	968.79614	947.3045	1114.2753
333	244	620.67487	480.25873	1042.5796	1067.7	1081.3892	813.9715	968.30701	947.3045	1114.1088
334	244	620.62238	480.08762	1042.5015	1067.63	1081.1946	813.3288	967.78998	947.3045	1113.9252
335	244	620.56281	479.84418	1042.391	1067.53	1081.072	812.75751	967.27289	947.3045	1113.7246
336	244	620.25995	479.32556	1042.2675	1067.36	1081.0127	812.32428	966.76282	947.3045	1113.5071
337	244	619.9184	478.7117	1042.1569	1067.1401	1080.8181	812.091	966.27368	947.3045	1113.2637
338	244	619.34552	478.16663	1042.0659	1066.8501	1080.5433	811.9339	965.78455	947.3045	1113.0118
339	244	618.66046	474.92297	1041.9358	1066.5602	1080.2344	811.54352	965.30945	947.3045	1112.743
